area_id,required_altitude_m,bilinear_direct_margin_db,direct_terrain_penetration_m,old_dem_direct_ok_at_30m,R01_bilinear_margin_db,R01_access_terrain_penetration_m,R01_old_dem_ok_at_30m,R02_bilinear_margin_db,R02_access_terrain_penetration_m,R02_old_dem_ok_at_30m,bilinear_any_link_ok
S001,184.0,2.2210711303766857,52.24802268215876,True,4.514363359702713,-10.958301576188973,True,5.071922541323957,-28.936147479515768,True,True
S002,219.5,-5.4805626320845136,50.73094203433044,False,-0.8401855893831538,-19.293028132705842,False,3.8121881840176144,-4.589486776708583,True,True
S003,338.5,-5.277229687361327,268.2291377719799,False,-6.321520172964824,2.861856357923955,False,-14.915975050088136,118.28607201392242,False,False
S004,228.3,-5.835854399120336,140.85798392289,False,-9.891803318205916,29.45178633364219,False,-9.50566894720528,7.217487293463364,False,False
S005,195.0,-2.543385911172649,97.89570340399251,False,4.734023894355246,-10.430796948366606,True,-8.631731870402405,26.43101353099587,False,True
S006,314.8,1.8824553307854899,32.81283409246305,True,-2.4483775660490465,23.46231130565951,False,-2.725466179012969,-3.156107131950705,False,True
S007,348.5,-1.1920239894888027,158.4369312886986,False,12.32969666102963,-31.588526738927158,True,-12.790971394338627,4.723594535723407,False,True
S008,270.9,-6.2350679180935344,96.84927999221702,False,-8.918727016489242,16.23183499788513,False,-12.116044161240012,15.179441607538365,False,False
S009,230.0,-3.207100803332253,48.33583642892307,False,1.0298554287271884,-40.026444452000135,True,6.357121579348075,-10.623069654576398,True,True
S010,351.6,-1.6478358664811878,109.62355688379105,False,-11.127541799773255,13.366679380974858,False,9.4133495026431,-18.16048973392276,True,True
S011,212.1,2.9473134677626405,46.21760206384448,True,12.880750096823974,-34.265766686825,True,0.6342462261250148,-13.011195939816446,True,True
S012,279.8,-5.438411516777748,147.89277983050673,False,-12.360595778383143,44.34211753133695,False,10.133552487276603,-24.740299067367005,True,True
S013,351.7,-1.7744125199274947,32.9295709772926,False,-0.4010980360752683,-24.888248370397548,False,10.72962717010742,-29.445644608198336,True,True
S014,351.0,-2.725756927868062,211.3987522118823,False,-12.426060023536749,171.83872542000802,False,-5.5479906890113,7.179804792655489,False,False
S015,474.5,-3.657647502294523,122.10745383034242,False,7.496766376027949,-37.408532570138846,True,-12.864699456727038,31.69628607891468,False,True
